AREA,COUNTRY_CD,COUNTRY_NM,DATE,총 1차 접종자 수,총 부스터 접종자 수,인구 100명당 총 접종 횟수,1차 접종률(%),부스터 접종률(%),latitude,longitude
ASIA,BTN,Bhutan,2021-03-28,187866.0,,24.0,24.0,,27.4745015,90.43585225
ASIA,BTN,Bhutan,2021-04-25,480836.0,,62.0,62.0,,27.4745015,90.43585225
ASIA,BTN,Bhutan,2021-05-30,483092.0,,63.0,63.0,,27.4745015,90.43585225
ASIA,BTN,Bhutan,2021-06-27,484797.0,,63.0,63.0,,27.4745015,90.43585225
ASIA,BTN,Bhutan,2021-07-25,530103.0,,130.0,69.0,,27.4745015,90.43585225
ASIA,BTN,Bhutan,2021-08-29,567148.0,,135.0,74.0,,27.4745015,90.43585225
ASIA,BTN,Bhutan,2021-09-26,584818.0,,140.0,76.0,,27.4745015,90.43585225
ASIA,BTN,Bhutan,2021-10-31,588307.0,,149.0,76.0,,27.4745015,90.43585225
ASIA,BTN,Bhutan,2021-11-28,589291.0,,150.0,76.0,,27.4745015,90.43585225
ASIA,BTN,Bhutan,2021-12-26,591944.0,,150.0,77.0,,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-01-30,594009.0,274060.0,186.0,77.0,36.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-02-27,599054.0,424517.0,207.0,78.0,55.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-03-27,689418.0,530095.0,233.0,89.0,69.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-04-24,692549.0,542552.0,247.0,90.0,70.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-05-29,692803.0,543968.0,247.0,90.0,70.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-06-26,692996.0,545280.0,248.0,90.0,71.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-07-31,694208.0,549912.0,249.0,90.0,71.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-08-28,695683.0,556971.0,250.0,90.0,72.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-09-25,698096.0,621051.0,259.0,90.0,80.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-10-30,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-11-27,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2022-12-25,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-01-29,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-02-26,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-03-26,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-04-30,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-05-28,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-06-25,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-07-30,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-08-27,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-09-24,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-10-29,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
ASIA,BTN,Bhutan,2023-11-26,699116.0,634641.0,261.0,91.0,82.0,27.4745015,90.43585225
AFRICA,NAM,Namibia,2022-05-29,496475.0,64392.0,32.0,20.0,3.0,-22.96646775,18.39490275
AFRICA,NAM,Namibia,2022-06-26,501862.0,69648.0,33.0,20.0,3.0,-22.96646775,18.39490275
